OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
78,06073010402,San Diego,CA,5536,0.26,9236.9449,307.897764,2.66234,1581.594567,20134.05242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,06073010502,San Diego,CA,5451,0.4,9236.9449,307.897764,2.66234,1085.94362,11519.70949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,06073010601,San Diego,CA,2248,1.63,9236.9449,307.897764,2.66234,1592.117611,82396.19115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,06073013103,San Diego,CA,2725,0.68,9236.9449,307.897764,2.66234,2052.35375,15884.17796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
82,06073013205,San Diego,CA,2326,0.69,9236.9449,307.897764,2.66234,9419.669189,2863753.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,06073013206,San Diego,CA,6812,0.6,9236.9449,307.897764,2.66234,5298.400609,387711.3552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,06073013308,San Diego,CA,3801,0.62,9236.9449,307.897764,2.66234,15653.56047,3351413.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
85,06073003501,San Diego,CA,4298,0.46,9236.9449,307.897764,2.66234,14137.20222,12922887.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
86,06073003502,San Diego,CA,4979,0.3,33217,1107,1,12481.09859,8428218.13,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1
87,06073003601,San Diego,CA,3215,0.35,9236.9449,307.897764,2.66234,15029.30021,9623284.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
88,06073003800,San Diego,CA,6509,0.69,9236.9449,307.897764,2.66234,24580.8377,19181956.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,06073003901,San Diego,CA,4514,0.25,9236.9449,307.897764,2.66234,12124.46957,6908830.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,06073003902,San Diego,CA,4993,0.45,7905,264,1,14610.19564,12644820.94,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,1
91,06073004000,San Diego,CA,5319,0.33,6868.5,229,2,13404.94885,9254134.569,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,2
92,06073004100,San Diego,CA,6704,0.58,9236.9449,307.897764,2.66234,20989.79132,16275217.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
93,06073004501,San Diego,CA,2973,0.13,9236.9449,307.897764,2.66234,7972.012487,3510240.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
94,06073004600,San Diego,CA,1991,0.15,9236.9449,307.897764,2.66234,9155.051399,4144252.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
95,06073004700,San Diego,CA,1882,0.13,9236.9449,307.897764,2.66234,7800.027511,3720439.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
96,06073004800,San Diego,CA,4035,0.22,15268,509,1,9859.207572,6079888.516,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1
97,06073004900,San Diego,CA,4972,0.3,9236.9449,307.897764,2.66234,13644.69597,8249796.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
98,06073005000,San Diego,CA,2322,0.55,9236.9449,307.897764,2.66234,19955.98697,15399320.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
99,06073005100,San Diego,CA,7541,0.62,15686,523,1,20510.90403,17429378.91,554,554,554,554,554,554,554,554,554,554,554,523,523,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,1
100,06073005200,San Diego,CA,5682,0.28,9236.9449,307.897764,2.66234,11454.42412,7848118.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
101,06073005300,San Diego,CA,6764,0.33,67777,2259.2,5,12211.25288,9305044.017,2244.6,2251.2,2230.4,2230.8,2242.2,2235,2277.8,2323.6,2282.4,2323.6,2311.6,2242.8,2235.4,2235.4,2243.2,2247,2248,2241.4,2240.8,2240.6,2233.6,2244.8,2256.8,2235,2255,2233.6,2239.8,2240.4,2269.4,2260.4,2273.4,5
102,06073005400,San Diego,CA,8102,0.59,2941,98,1,28567.25999,16370863.88,34,34,32,32,32,32,32,53,53,51,51,32,32,32,34,34,32,32,32,32,32,34,34,32,32,32,32,42,44,50,49,1
103,06073009902,San Diego,CA,2,0.12,9236.9449,307.897764,2.66234,30869.80811,2182896.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
104,06073011000,San Diego,CA,2845,0.34,9236.9449,307.897764,2.66234,1259.402437,9280.877541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
105,06073011100,San Diego,CA,3809,0.35,9236.9449,307.897764,2.66234,3385.238057,45537.06727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,06073003001,San Diego,CA,4323,0.91,18128,604,1,22041.24479,25374180.53,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,1
107,06073003004,San Diego,CA,4996,0.49,9236.9449,307.897764,2.66234,18851.34421,13523763.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
108,06073003101,San Diego,CA,3718,0.4,11352,378,1,14084.37912,11113857.66,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1
109,06073003103,San Diego,CA,6193,0.79,9236.9449,307.897764,2.66234,21352.52745,22103623.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
110,06073003105,San Diego,CA,4130,0.46,9236.9449,307.897764,2.66234,15601.46028,12988439.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
111,06073003109,San Diego,CA,3383,0.43,9236.9449,307.897764,2.66234,15219.42886,12042075.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
112,06073003111,San Diego,CA,6191,0.56,9236.9449,307.897764,2.66234,26896.31667,15862156.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,06073003112,San Diego,CA,4663,0.58,9236.9449,307.897764,2.66234,16725.84443,16157933.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
114,06073003113,San Diego,CA,5081,0.61,9236.9449,307.897764,2.66234,20661.07561,16913021.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
